instrument_id,entry_at,exit_at,quantity,pnl,local_pnl,fx_pnl,fees,holding_seconds,reason
ZZ0000000008:XETR:EUR,2024-01-02 10:25:00+00:00,2024-01-02 11:00:00+00:00,9,1.3879586176412886,3.3879586176413454,0.0,2.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-02 11:10:00+00:00,2024-01-02 11:55:00+00:00,9,1.532142197477583,3.5321421974775262,0.0,2.0,2700.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-02 12:10:00+00:00,2024-01-02 13:25:00+00:00,9,1.2141338863209512,3.2141338863210223,0.0,2.0,4500.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-02 13:40:00+00:00,2024-01-02 14:10:00+00:00,9,-2.399281964363581,-0.39928196436360963,0.0,2.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-03 10:05:00+00:00,2024-01-03 10:35:00+00:00,9,-3.6962786875952816,-1.6962786875953526,0.0,2.0,1800.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-03 11:15:00+00:00,2024-01-03 11:30:00+00:00,9,-3.915192322316557,-1.9151923223165,0.0,2.0,900.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-03 12:50:00+00:00,2024-01-03 13:35:00+00:00,9,0.7623546769769973,2.762354676976969,0.0,2.0,2700.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-03 14:45:00+00:00,2024-01-03 15:05:00+00:00,9,1.0571668401016723,3.057166840101729,0.0,2.0,1200.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-03 15:20:00+00:00,2024-01-03 16:15:00+00:00,9,1.7210204912199742,3.7210204912199174,0.0,2.0,3300.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 09:25:00+00:00,2024-01-04 10:00:00+00:00,9,2.7346927663937777,4.734692766393721,0.0,2.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 10:10:00+00:00,2024-01-04 11:00:00+00:00,9,-3.8969135930968832,-1.896913593096869,0.0,2.0,3000.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-04 12:00:00+00:00,2024-01-04 13:10:00+00:00,9,2.3765935247006382,4.376593524700638,0.0,2.0,4200.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 13:40:00+00:00,2024-01-04 14:00:00+00:00,9,1.7000107792903236,3.700010779290295,0.0,2.0,1200.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 14:20:00+00:00,2024-01-04 15:30:00+00:00,9,-0.11463278940891541,1.8853672105910135,0.0,2.0,4200.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-05 08:55:00+00:00,2024-01-05 09:40:00+00:00,8,3.084960600521299,5.084960600521299,0.0,2.0,2700.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-05 09:55:00+00:00,2024-01-05 10:40:00+00:00,8,-1.0595415512399313,0.9404584487600687,0.0,2.0,2700.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-05 11:15:00+00:00,2024-01-05 12:10:00+00:00,8,1.1773124039954155,3.1773124039954155,0.0,2.0,3300.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-05 12:25:00+00:00,2024-01-05 13:25:00+00:00,8,1.7173794618813645,3.7173794618813645,0.0,2.0,3600.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-05 14:05:00+00:00,2024-01-05 14:40:00+00:00,8,-3.630746403020339,-1.6307464030203391,0.0,2.0,2100.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 08:55:00+00:00,2024-01-08 09:35:00+00:00,8,-1.564043329594142,0.43595667040585795,0.0,2.0,2400.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 10:10:00+00:00,2024-01-08 10:35:00+00:00,8,-2.552761119081538,-0.5527611190815378,0.0,2.0,1500.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 11:15:00+00:00,2024-01-08 11:50:00+00:00,8,3.56985088115664,5.56985088115664,0.0,2.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-08 12:10:00+00:00,2024-01-08 12:40:00+00:00,8,-3.6846011759773774,-1.6846011759773774,0.0,2.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 13:15:00+00:00,2024-01-08 14:05:00+00:00,8,2.4381712259516917,4.438171225951692,0.0,2.0,3000.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-08 14:25:00+00:00,2024-01-08 15:15:00+00:00,8,1.0186885326339734,3.0186885326339734,0.0,2.0,3000.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-09 08:55:00+00:00,2024-01-09 09:30:00+00:00,8,1.7272962691307612,3.727296269130761,0.0,2.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-09 10:05:00+00:00,2024-01-09 10:35:00+00:00,8,-3.53418008569804,-1.5341800856980399,0.0,2.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-09 11:40:00+00:00,2024-01-09 12:15:00+00:00,8,-3.7947053091889984,-1.7947053091889984,0.0,2.0,2100.0,close-observed stop
