instrument_id,entry_at,exit_at,quantity,pnl,local_pnl,fx_pnl,fees,holding_seconds,reason
ZZ0000000008:XETR:EUR,2024-01-02 10:25:00+00:00,2024-01-02 11:05:00+00:00,9,-1.104994434804894,2.8950055651950777,0.0,4.0,2400.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-02 11:55:00+00:00,2024-01-02 12:55:00+00:00,9,-2.0822417934256237,1.9177582065743337,0.0,4.0,3600.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-02 13:40:00+00:00,2024-01-02 14:10:00+00:00,9,-5.139012243791285,-1.1390122437912567,0.0,4.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-03 10:05:00+00:00,2024-01-03 10:25:00+00:00,9,-6.546584110938397,-2.546584110938454,0.0,4.0,1200.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-03 11:15:00+00:00,2024-01-03 11:30:00+00:00,9,-6.668873484693677,-2.66887348469362,0.0,4.0,900.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-03 12:50:00+00:00,2024-01-03 13:45:00+00:00,9,-1.8587371178390413,2.141262882160973,0.0,4.0,3300.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-03 14:45:00+00:00,2024-01-03 15:10:00+00:00,9,-2.3082245139471524,1.691775486052876,0.0,4.0,1500.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 09:25:00+00:00,2024-01-04 10:00:00+00:00,9,-0.040408169312172504,3.9595918306877422,0.0,4.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 12:00:00+00:00,2024-01-04 13:15:00+00:00,9,0.0595652258929249,4.059565225892911,0.0,4.0,4500.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 13:40:00+00:00,2024-01-04 14:00:00+00:00,9,-1.086570997437775,2.9134290025622533,0.0,4.0,1200.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-04 15:30:00+00:00,2024-01-04 16:00:00+00:00,9,-4.744512937264972,-0.7445129372650285,0.0,4.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-05 08:55:00+00:00,2024-01-05 09:40:00+00:00,8,0.3702755948995673,4.370275594899567,0.0,4.0,2700.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-05 09:55:00+00:00,2024-01-05 10:40:00+00:00,8,-3.7763248740067183,0.22367512599328165,0.0,4.0,2700.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-05 11:15:00+00:00,2024-01-05 11:25:00+00:00,8,-6.720196082421694,-2.720196082421694,0.0,4.0,600.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-05 12:05:00+00:00,2024-01-05 13:05:00+00:00,8,-1.274675273622961,2.725324726377039,0.0,4.0,3600.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-05 14:05:00+00:00,2024-01-05 14:40:00+00:00,8,-6.363041073288059,-2.363041073288059,0.0,4.0,2100.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 08:55:00+00:00,2024-01-08 09:35:00+00:00,8,-4.3026475191472855,-0.3026475191472855,0.0,4.0,2400.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 10:10:00+00:00,2024-01-08 10:35:00+00:00,8,-5.292546329143079,-1.2925463291430788,0.0,4.0,1500.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 11:15:00+00:00,2024-01-08 11:50:00+00:00,8,0.8244607759572773,4.824460775957277,0.0,4.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-08 12:10:00+00:00,2024-01-08 12:40:00+00:00,8,-6.433507758165547,-2.433507758165547,0.0,4.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-08 13:15:00+00:00,2024-01-08 14:05:00+00:00,8,-0.3145624306564514,3.6854375693435486,0.0,4.0,3000.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-08 15:20:00+00:00,2024-01-08 15:30:00+00:00,8,-6.503509669036475,-2.5035096690364753,0.0,4.0,600.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-09 08:55:00+00:00,2024-01-09 09:30:00+00:00,8,-1.0387986710053383,2.9612013289946617,0.0,4.0,2100.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-09 10:05:00+00:00,2024-01-09 10:35:00+00:00,8,-6.303000290873683,-2.3030002908736833,0.0,4.0,1800.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-09 11:40:00+00:00,2024-01-09 12:10:00+00:00,8,-6.851108467030258,-2.851108467030258,0.0,4.0,1800.0,close-observed stop
ZZ0000000008:XETR:EUR,2024-01-09 12:45:00+00:00,2024-01-09 13:35:00+00:00,8,-3.7089676156471114,0.2910323843528886,0.0,4.0,3000.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-09 14:50:00+00:00,2024-01-09 15:30:00+00:00,8,-4.995340976428679,-0.9953409764286789,0.0,4.0,2400.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-10 09:10:00+00:00,2024-01-10 10:15:00+00:00,8,-2.6767357934871825,1.3232642065128175,0.0,4.0,3900.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-10 11:30:00+00:00,2024-01-10 12:30:00+00:00,7,-4.269672202489005,-0.26967220248900503,0.0,4.0,3600.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-10 13:30:00+00:00,2024-01-10 14:20:00+00:00,7,0.29704862695234624,4.297048626952304,0.0,4.0,3000.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-11 09:30:00+00:00,2024-01-11 10:35:00+00:00,7,-2.8645186664397215,1.1354813335602785,0.0,4.0,3900.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-11 11:10:00+00:00,2024-01-11 11:35:00+00:00,7,-1.711720086528203,2.2882799134717544,0.0,4.0,1500.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-11 12:25:00+00:00,2024-01-11 13:05:00+00:00,7,0.35022723819497514,4.350227238194918,0.0,4.0,2400.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-11 14:15:00+00:00,2024-01-11 14:35:00+00:00,7,-5.367105217282756,-1.3671052172827558,0.0,4.0,1200.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-11 15:10:00+00:00,2024-01-11 16:20:00+00:00,7,-1.960942033382139,2.039057966617804,0.0,4.0,4200.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-12 10:10:00+00:00,2024-01-12 10:40:00+00:00,7,1.025940942785951,5.025940942785979,0.0,4.0,1800.0,close-observed take profit
ZZ0000000008:XETR:EUR,2024-01-12 11:10:00+00:00,2024-01-12 11:55:00+00:00,7,-4.565751186227317,-0.5657511862274021,0.0,4.0,2700.0,signal reversal
ZZ0000000008:XETR:EUR,2024-01-12 13:35:00+00:00,2024-01-12 13:50:00+00:00,7,-5.982831312013104,-1.982831312013161,0.0,4.0,900.0,close-observed stop
