instrument_id,timestamp,action,reason,stop_distance,approved
ZZ0000000008:XETR:EUR,2024-01-02T10:20:00Z,LONG,momentum,0.16536619310315867,True
ZZ0000000008:XETR:EUR,2024-01-02T10:55:00Z,EXIT,close-observed take profit,0.1765129142223531,True
ZZ0000000008:XETR:EUR,2024-01-02T11:05:00Z,LONG,momentum,0.17661302859714262,True
ZZ0000000008:XETR:EUR,2024-01-02T11:50:00Z,EXIT,close-observed take profit,0.174427900897028,True
ZZ0000000008:XETR:EUR,2024-01-02T12:05:00Z,LONG,momentum,0.18847009395160996,True
ZZ0000000008:XETR:EUR,2024-01-02T13:20:00Z,EXIT,close-observed take profit,0.18035326661680884,True
ZZ0000000008:XETR:EUR,2024-01-02T13:35:00Z,LONG,momentum,0.1774681287581653,True
ZZ0000000008:XETR:EUR,2024-01-02T14:05:00Z,EXIT,signal reversal,0.18399677884562088,True
ZZ0000000008:XETR:EUR,2024-01-02T14:30:00Z,LONG,momentum,0.174326466444302,False
ZZ0000000008:XETR:EUR,2024-01-02T14:35:00Z,LONG,momentum,0.1736399828158375,False
ZZ0000000008:XETR:EUR,2024-01-03T10:00:00Z,LONG,momentum,0.1897460424035796,True
ZZ0000000008:XETR:EUR,2024-01-03T10:30:00Z,EXIT,close-observed stop,0.20298849102162309,True
ZZ0000000008:XETR:EUR,2024-01-03T11:10:00Z,LONG,momentum,0.2281054382657801,True
ZZ0000000008:XETR:EUR,2024-01-03T11:25:00Z,EXIT,close-observed stop,0.23051271128014506,True
ZZ0000000008:XETR:EUR,2024-01-03T12:45:00Z,LONG,momentum,0.17857843811860263,True
ZZ0000000008:XETR:EUR,2024-01-03T13:30:00Z,EXIT,close-observed take profit,0.21220640133733987,True
ZZ0000000008:XETR:EUR,2024-01-03T14:40:00Z,LONG,momentum,0.18615418180656665,True
ZZ0000000008:XETR:EUR,2024-01-03T15:00:00Z,EXIT,close-observed take profit,0.21033125739752223,True
ZZ0000000008:XETR:EUR,2024-01-03T15:15:00Z,LONG,momentum,0.21691746172297194,True
ZZ0000000008:XETR:EUR,2024-01-03T16:10:00Z,EXIT,close-observed take profit,0.2030676994919156,True
ZZ0000000008:XETR:EUR,2024-01-04T09:20:00Z,LONG,momentum,0.18190982617869267,True
ZZ0000000008:XETR:EUR,2024-01-04T09:55:00Z,EXIT,close-observed take profit,0.1995123515001954,True
ZZ0000000008:XETR:EUR,2024-01-04T10:05:00Z,LONG,momentum,0.22343533956232062,True
ZZ0000000008:XETR:EUR,2024-01-04T10:55:00Z,EXIT,signal reversal,0.21896464061704585,True
ZZ0000000008:XETR:EUR,2024-01-04T11:55:00Z,LONG,momentum,0.2321410995350734,True
